@param1, @param2, @param3, @param4, @param5, @param6, @param7, @param8, @param9, @param10, @param11, @param12, @param13, @param14, @param15, @param16, @param17, @param18, @param19, @param20, @param21, @param22, @param23, @param24, @param25, @param26, @param27, @param28, @param29, @param30, @param31, @param32, @param33, @param34, @param35, @param36, @param37, @param38
102, 201, 1001, 3001, SKU002, 30, 22, 24, 0, test, 03:33, , 1, , 1, , 1, , 1, , , , 1.56, 0, 0, 202, , 210, 212, 0.94, 215, , , 14, 14-08-2024 00:00:00, 14:47:01.4776945, , S439
102, 201, 1001, 3001, SKU002, 30, 22, 24, 0, test, 03:33, , 1, , 1, , 1, , 1, , , , 1.56, 0, 0, 202, , 210, 212, 0.94, 215, , , 14, 14-08-2024 00:00:00, 14:48:13.5104357, , S439
102, 201, 1001, 3001, SKU002, 30, 22, 24, 0, test, 03:33, , 1, , 1, , 1, , 1, , , , 1.56, 0, 0, 202, , 210, 212, 0.94, 215, , , 14, 14-08-2024 00:00:00, 14:52:16.6738026, , S439
102, 201, 1001, 3001, SKU002, 30, 22, 24, 0, test, 03:33, , 1, , 1, , 1, , 1, , , , 1.56, 0, 0, 202, , 210, 212, 0.94, 215, , , 14, 14-08-2024 00:00:00, 14:52:47.5578785, , S439
102, 201, 1001, 3001, SKU002, 30, 22, 24, 0, test, 03:33, , 1, , 1, , 1, , 1, , , , 1.56, 0, 0, 202, , 210, 212, 0.94, 215, , , 14, 14-08-2024 00:00:00, 14:52:50.2263504, , S439
102, 201, 1001, 3001, SKU002, 30, 22, 24, 0, test, 03:33, , 1, , 1, , 1, , 1, , , , 1.56, 0, 0, 202, , 210, 212, 0.94, 215, , , 14, 14-08-2024 00:00:00, 14:55:50.4772508, , S439
102, 201, 1001, 3001, SKU002, 30, 22, 24, 0, test, 03:33, , 1, , 1, , 1, , 1, , , , 1.56, 0, 0, 202, , 210, 212, 0.94, 215, , , 14, 14-08-2024 00:00:00, 14:58:30.8438141, , S439
102, 201, 1001, 3001, SKU002, 30, 22, 24, 0, test, 03:33, 00:00, 1, , 1, , 1, , 1, , , , 1.56, 0, 0, 202, , 210, 212, 0.94, 215, ~/UploadedFiles/QCIR/DesignImp/QCIR_20240814152714.jpg, ~/UploadedFiles/QCIR/ClrApp/QCIR_20240814152717.jpg, 14, 14-08-2024 00:00:00, 15:27:19.2643872, , S439
102, 201, 1001, 3001, SKU002, 30, 22, 24, 0, test, 03:33, 00:00, 1, , 1, , 1, , 1, , , , 1.56, 0, 0, 202, , 210, 212, 0.94, 215, ~/UploadedFiles/QCIR/DesignImp/QCIR_20240814152714.jpg, ~/UploadedFiles/QCIR/ClrApp/QCIR_20240814152717.jpg, 14, 14-08-2024 00:00:00, 15:28:58.5434811, , S439
102, 201, 1001, 3001, SKU002, 30, 22, 24, 0, test, 03:33, 00:00, 1, , 1, , 1, , 1, , , , 1.56, 0, 0, 202, , 210, 212, 0.94, 215, ~/UploadedFiles/QCIR/DesignImp/QCIR_20240814152714.jpg, ~/UploadedFiles/QCIR/ClrApp/QCIR_20240814152717.jpg, 14, 14-08-2024 00:00:00, 15:29:44.0138585, , S439
102, 201, 1001, 3001, SKU002, 30, 22, 24, 0, test, 03:33, 00:00, 1, , 1, , 1, , 1, , 0.00, , 1.56, 0, 0, 202, , 210, 212, 0.94, 215, ~/UploadedFiles/QCIR/DesignImp/QCIR_20240814153658.jpg, ~/UploadedFiles/QCIR/ClrApp/QCIR_20240814153702.jpg, 14, 14-08-2024 00:00:00, 15:37:03.7595175, , S439
103, 206, 1006, 3016, SKU252, 22, 22, 24, 2, test, 03:33, 00:00, 1, , 1, , 1, , 1, , 0.00, , 1.56, 1.5, 2.8, 0.00, , 210, 0.00, 0.00, 215, , , 14, 14-08-2024 00:00:00, 15:55:24.1777551, , S439
103, 206, 1006, 3016, SKU252, 22, 22, 23, 2, test, 04:28, 04:35, 1, , 1, , 1, , 1, , 0.00, , 1.24, 2.54, 0.7, 0.00, , 200, 0.00, 0.00, 210, ~/UploadedFiles/QCIR/DesignImp/QCIR_20240814190627.jpg, ~/UploadedFiles/QCIR/ClrApp/QCIR_20240814190631.jpg, 49, 14-08-2024 00:00:00, 19:07:08.8263490, , ADMIN
